=== DVD Bounce Heading Selection ===
DVD heading selections so far: 5
Successful interaction entries: 2
Completed 30 s interactions: 2
Abandoned before interaction: 0
Abandoned after interaction: 0
Cooldown ignored detections: 17
Current human phase: APPROACH
Reposition commits: 0
Settle successes: 2

Open beam rule: inf OR range >= 4.5000 m
Minimum accepted sector width: 18.0000 deg
Sector edge margin: 8.0000 deg
Preferred bounce band: +/-55.0000 to +/-150.0000 deg
Fallback bounce band: +/-35.0000 to +/-165.0000 deg

Accepted open sectors: 2
Widest open sector beams: 208
Preferred left candidates: 116
Preferred right candidates: 102
Fallback candidates: 288

=== Result ===
Selected behaviour: preferred random side-bounce
Selected side: right/negative
Selected index: 123
Selected angle: -118.4144 deg
Representative range: 4.7639 m

=== Laser Scan Values ===
  [ 225]  angle= -67.3435 deg  range=3.0494 m  open=no  preferred=yes
  [ 226]  angle= -66.8428 deg  range=3.0339 m  open=no  preferred=yes
  [ 227]  angle= -66.3421 deg  range=3.0189 m  open=no  preferred=yes
  [ 228]  angle= -65.8414 deg  range=3.0042 m  open=no  preferred=yes
  [ 229]  angle= -65.3407 deg  range=2.9899 m  open=no  preferred=yes
  [ 230]  angle= -64.8400 deg  range=2.9760 m  open=no  preferred=yes
  [ 231]  angle= -64.3393 deg  range=2.9624 m  open=no  preferred=yes
  [ 232]  angle= -63.8386 deg  range=2.9492 m  open=no  preferred=yes
  [ 233]  angle= -63.3379 deg  range=2.9363 m  open=no  preferred=yes
  [ 234]  angle= -62.8372 deg  range=2.9237 m  open=no  preferred=yes
  [ 235]  angle= -62.3365 deg  range=2.9115 m  open=no  preferred=yes
  [ 236]  angle= -61.8358 deg  range=2.8996 m  open=no  preferred=yes
  [ 237]  angle= -61.3351 deg  range=2.8880 m  open=no  preferred=yes
  [ 238]  angle= -60.8345 deg  range=2.8767 m  open=no  preferred=yes
  [ 239]  angle= -60.3338 deg  range=2.8658 m  open=no  preferred=yes
  [ 240]  angle= -59.8331 deg  range=2.8551 m  open=no  preferred=yes
  [ 241]  angle= -59.3324 deg  range=2.8447 m  open=no  preferred=yes
  [ 242]  angle= -58.8317 deg  range=2.8346 m  open=no  preferred=yes
  [ 243]  angle= -58.3310 deg  range=2.8248 m  open=no  preferred=yes
  [ 244]  angle= -57.8303 deg  range=2.8153 m  open=no  preferred=yes
  [ 245]  angle= -57.3296 deg  range=2.8061 m  open=no  preferred=yes
  [ 246]  angle= -56.8289 deg  range=2.7971 m  open=no  preferred=yes
  [ 247]  angle= -56.3282 deg  range=2.7884 m  open=no  preferred=yes
  [ 248]  angle= -55.8275 deg  range=2.7800 m  open=no  preferred=yes
  [ 249]  angle= -55.3268 deg  range=2.7718 m  open=no  preferred=yes
  [ 250]  angle= -54.8261 deg  range=2.7639 m  open=no  preferred=no
  [ 251]  angle= -54.3254 deg  range=2.7562 m  open=no  preferred=no
  [ 252]  angle= -53.8247 deg  range=2.7488 m  open=no  preferred=no
  [ 253]  angle= -53.3240 deg  range=2.7417 m  open=no  preferred=no
  [ 254]  angle= -52.8233 deg  range=2.7348 m  open=no  preferred=no
  [ 255]  angle= -52.3226 deg  range=2.7281 m  open=no  preferred=no
