=== Laser Scan Values ===
  [ 442]  angle=  41.3073 deg  range=inf m
  [ 443]  angle=  41.8080 deg  range=inf m
  [ 444]  angle=  42.3087 deg  range=inf m
  [ 445]  angle=  42.8094 deg  range=inf m
  [ 446]  angle=  43.3101 deg  range=inf m
  [ 447]  angle=  43.8108 deg  range=1.9524 m
  [ 448]  angle=  44.3115 deg  range=1.9518 m
  [ 449]  angle=  44.8122 deg  range=1.9513 m
  [ 450]  angle=  45.3129 deg  range=1.9509 m
  [ 451]  angle=  45.8136 deg  range=1.9507 m
  [ 452]  angle=  46.3143 deg  range=1.9507 m
  [ 453]  angle=  46.8150 deg  range=1.9507 m
  [ 454]  angle=  47.3157 deg  range=1.9510 m
  [ 455]  angle=  47.8164 deg  range=1.9514 m
  [ 456]  angle=  48.3171 deg  range=1.9519 m
  [ 457]  angle=  48.8177 deg  range=1.9526 m
  [ 458]  angle=  49.3184 deg  range=1.9534 m
  [ 459]  angle=  49.8191 deg  range=1.9544 m
  [ 460]  angle=  50.3198 deg  range=1.9556 m
  [ 461]  angle=  50.8205 deg  range=1.9569 m
  [ 462]  angle=  51.3212 deg  range=1.9583 m
  [ 463]  angle=  51.8219 deg  range=1.9599 m
  [ 464]  angle=  52.3226 deg  range=1.9616 m
  [ 465]  angle=  52.8233 deg  range=1.9635 m
  [ 466]  angle=  53.3240 deg  range=1.9656 m
  [ 467]  angle=  53.8247 deg  range=1.9678 m
  [ 468]  angle=  54.3254 deg  range=1.9702 m
  [ 469]  angle=  54.8261 deg  range=1.9727 m
  [ 470]  angle=  55.3268 deg  range=1.9753 m
  [ 471]  angle=  55.8275 deg  range=1.9782 m
  [ 472]  angle=  56.3282 deg  range=1.9812 m
  [ 473]  angle=  56.8289 deg  range=1.9843 m
  [ 474]  angle=  57.3296 deg  range=1.9877 m
  [ 475]  angle=  57.8303 deg  range=1.9911 m
  [ 476]  angle=  58.3309 deg  range=1.9948 m
  [ 477]  angle=  58.8316 deg  range=1.9986 m
  [ 478]  angle=  59.3323 deg  range=2.0026 m
  [ 479]  angle=  59.8330 deg  range=2.0067 m
  [ 480]  angle=  60.3337 deg  range=2.0110 m
  [ 481]  angle=  60.8344 deg  range=2.0155 m
  [ 482]  angle=  61.3351 deg  range=2.0202 m
  [ 483]  angle=  61.8358 deg  range=2.0250 m
  [ 484]  angle=  62.3365 deg  range=2.0301 m
  [ 485]  angle=  62.8372 deg  range=2.0353 m
  [ 486]  angle=  63.3379 deg  range=2.0407 m
  [ 487]  angle=  63.8386 deg  range=2.0462 m
  [ 488]  angle=  64.3393 deg  range=2.0520 m
  [ 489]  angle=  64.8400 deg  range=2.0579 m
  [ 490]  angle=  65.3407 deg  range=2.0641 m
  [ 491]  angle=  65.8414 deg  range=2.0704 m
  [ 492]  angle=  66.3421 deg  range=2.0770 m
  [ 493]  angle=  66.8428 deg  range=2.0837 m
  [ 494]  angle=  67.3435 deg  range=2.0906 m
  [ 495]  angle=  67.8442 deg  range=2.0978 m
  [ 496]  angle=  68.3448 deg  range=2.1052 m
  [ 497]  angle=  68.8455 deg  range=2.1127 m
  [ 498]  angle=  69.3462 deg  range=2.1205 m
  [ 499]  angle=  69.8469 deg  range=2.1285 m
  [ 500]  angle=  70.3476 deg  range=2.1368 m
  [ 501]  angle=  70.8483 deg  range=2.1452 m
  [ 502]  angle=  71.3490 deg  range=2.1539 m
  [ 503]  angle=  71.8497 deg  range=2.1629 m
